Address_ID,Building_Label,Street,City,Country,Postcode
1,Apt 101,123 Main St,New York,USA,10001
2,,456 Oak St,Los Angeles,USA,90001
3,House 12,789 Pine St,Chicago,USA,60601
4,Unit 303,101 Maple Ave,Toronto,Canada,M5V 2T6
5,,12 King St,London,UK,SW1A 1AA
6,Apt 4B,34 Queens Rd,Sydney,Australia,2000
7,Suite 200,19 Orchard St,Singapore,Singapore,238825
8,House A,8 Elm St,San Francisco,USA,94102
9,Unit 5,22 Victoria Rd,Auckland,New Zealand,1010
10,,15 Constitution St,Edinburgh,UK,EH6 7BG
11,Flat 6,45 High St,Birmingham,UK,B4 7SL
12,Building 3,678 Lake Rd,Vancouver,Canada,V5K 0A1
13,,22 Boulevard Ave,Paris,France,75008
14,Block B,78 Hill St,Melbourne,Australia,3000
15,Villa 5,Rue de la Paix,Nice,France,06000
16,House 7,Ocean Dr,Miami,USA,33101
17,Apartment 21,King’s Rd,Hong Kong,Hong Kong,999077
18,,5 Grand Ave,Chicago,USA,60613
